ProductID,ProductName,ProductType,Size,ItemCode,MinOrderQty,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail_pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
57,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"12""x18""",GPOLY111218B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
58,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"13""x19""",GPOLY111319B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
59,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"20.9""x29.5""",GPOLY112130B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
60,Graffiti Blended Poly Graffiti Blended Poly 11mil,Graffiti Blended Poly 11mil,"28""x40""",GPOLY112840B,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
61,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"12""x18""",GPOLY141218B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
62,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"13""x19""",GPOLY141319B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
63,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"20.9""x29.5""",GPOLY142130B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
64,Graffiti Blended Poly Graffiti Blended Poly 14mil,Graffiti Blended Poly 14mil,"28""x40""",GPOLY142840B,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
65,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"12""x18""",GPOLY081218M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
66,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"13""x19""",GPOLY081319M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
67,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"20.9""x29.5""",GPOLY082130M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
68,Graffiti Blended Poly Graffiti SOFT Poly 8mil,Graffiti SOFT Poly 8mil,"28""x40""",GPOLY082840M,500 Sheets,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
69,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"12""x18""",GPOLY111218M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
70,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"13""x19""",GPOLY111319M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
71,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"20.9""x29.5""",GPOLY112130M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
72,Graffiti Blended Poly Graffiti SOFT Poly 11mil,Graffiti SOFT Poly 11mil,"28""x40""",GPOLY112840M,500 Sheets,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
73,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"12""x18""",GPOLY141218M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
74,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"13""x19""",GPOLY141319M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
75,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"20.9""x29.5""",GPOLY142130M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
76,Graffiti Blended Poly Graffiti SOFT Poly 14mil,Graffiti SOFT Poly 14mil,"28""x40""",GPOLY142840M,400 Sheets,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
77,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"8.5""x11""",GSCOL040811W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
78,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"12x18""",GSCOL041218W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
79,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - Slits,"12x18""",GSCOL041218S,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
80,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - No Slits,"13x19""",GSCOL041319W,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil - Slits,"13x19""",GSCOL041319S,100 Sheets,,,,,,,,,,
81,GraffitiSTICK Graffiti COOLStick - 4mil,Graffiti COOLStick - 4mil,"20.9""x29.5""",GSCLR042130C,100 Sheets,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
82,GraffitiSTICK Graffiti CLEARStick - 4mil,Graffiti CLEARStick - 4mil,"13""x19""",GSCLR041319C,100 Sheets,2.39,2.9,3.22,3.39,4.06,4.35,4.64,4.93,5.22,5.8
83,GraffitiSTICK Graffiti SILVERStick - 4mil,Graffiti SILVERStick - 4mil,"13""x19""",GSSILS041319S,100 Sheets,2.31,2.8,3.11,3.27,3.92,4.2,4.48,4.76,5.04,5.6
84,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - Slits,"12x18""",GSPAP041218S,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
85,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - No Slits,"13x19""",GSPAP041319W,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil - Slits,"13x19""",GSPAP041319S,100 Sheets,,,,,,,,,,
86,GraffitiSTICK Graffiti PAPERStick - 4mil,Graffiti PAPERStick - 4mil,"20.9""x29.5""",GSPAP042130S,100 Sheets,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
87,GraffitiSTICK Graffiti MAGNETICS - 16mil,Graffiti MAGNETICS - 16mil,"13""x19""",GSMAG1613x19L,100 Sheets,9.77,11.86,13.18,13.87,16.6,17.79,18.98,20.16,21.35,23.72
88,GraffitiSTICK Graffiti DURAStick - 6mil,Graffiti DURAStick - 6mil,"13""x19""",GSDUR061319W2,200 Sheets,2.47,3,3.33,3.51,4.2,4.5,4.8,5.1,5.4,6
89,GraffitiSTICK Graffiti SlickStick Clear - 6mil,Graffiti SlickStick Clear - 6mil,"13""x19""",GSSLI061319C,100 Sheets,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
90,GraffitiSTICK Graffiti SlickStick White - 6mil,Graffiti SlickStick White - 6mil,"13""x19""",GSSLI061319W,100 Sheets,8.21,9.96,11.07,11.65,13.95,14.95,15.94,16.94,17.94,19.93
91,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 60:40,"54""x100'",SOWVB645410S,1 Roll,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
92,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 60:40,"60""x100'",SOWVB646010S,1 Roll,3.62,4.4,4.89,5.15,6.16,6.6,7.04,7.48,7.92,8.8
,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 70:30,"54""x100'",SOWVB735410S,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit One Way Vision Film 7mil,Solvit One Way Vision Film 7mil - 70:30,"60""x100'",SOWVB736010S,1 Roll,,,,,,,,,,
93,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"38""x100'",SPETG083810L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
94,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"38""x165'",SPETG083816L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
95,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 8mil,Solvit Polyester (Grey Back) Banner 8mil,"54""x100'",SPETG085410L,1 Roll,3.21,3.9,4.33,4.56,5.46,5.85,6.24,6.63,7.02,7.8
96,SolviT Sign & Display Media Solvit Polyester (White Back) Banner 8mil,Solvit Polyester (White Back) Banner 8mil,"38""x100'",SPETW083810M,1 Roll,3.05,3.7,4.11,4.33,5.18,5.55,5.92,6.29,6.66,7.4
97,SolviT Sign & Display Media Solvit Polyester (Grey Back) Banner 10mil,Solvit Polyester (Grey Back) Banner 10mil,"38""x100'",SPETG103810L,1 Roll,4.04,4.9,5.44,5.73,6.86,7.35,7.84,8.33,8.82,9.8
98,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Gloss,"38""x150'",SPVC8133815G,1 Roll,1.37,1.66,1.84,1.94,2.32,2.49,2.66,2.82,2.99,3.32
99,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Gloss,"54""x150'",SPVC8135415G,1 Roll,1.37,1.66,1.84,1.94,2.32,2.49,2.66,2.82,2.99,3.32
100,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Gloss,"63""x140'",SPVC8136314G,1 Roll,1.37,1.66,1.84,1.94,2.32,2.49,2.66,2.82,2.99,3.32
,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Matte,"38""x150'",SPVC8133815M,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Matte,"54""x150'",SPVC8135415M,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit PVC Banner 13 Oz (840x840),Solvit PVC Banner 13 Oz (840x840) - Matte,"63""x140'",SPVC8136314M,1 Roll,,,,,,,,,,
101,SolviT Sign & Display Media Solvit Poster Paper 175gsm,Solvit Poster Paper 175gsm,"50""x150'",SPOP1755015S,1 Roll,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
102,SolviT Sign & Display Media Solvit Poster Paper 175gsm,Solvit Poster Paper 175gsm,"54""x150'",SPOP1755415S,1 Roll,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
103,SolviT Sign & Display Media Solvit Poster Paper 175gsm,Solvit Poster Paper 175gsm,"60""x150'",SPOP1756015S,1 Roll,1.07,1.3,1.44,1.52,1.82,1.95,2.08,2.21,2.34,2.6
104,SolviT Sign & Display Media Solvit Backlit Film 8mil,Solvit Backlit Film 8mil,"54""x100'",SBACW085410M,1 Roll,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
105,SolviT Sign & Display Media Solvit Backlit Film 8mil,Solvit Backlit Film 8mil,"60""x100'",SBACW086010M,1 Roll,2.96,3.6,4,4.21,5.04,5.4,5.76,6.12,6.48,7.2
106,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 4mil (Greyback),Solvit Self Adhesive Vinyl - 4mil - Gloss,"54""x150'",SSAVG045415G,1 Roll,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
107,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 4mil (Greyback),Solvit Self Adhesive Vinyl - 4mil - Gloss,"60""x150'",SSAVG046015G,1 Roll,1.32,1.6,1.78,1.87,2.24,2.4,2.56,2.72,2.88,3.2
,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 4mil (Greyback),Solvit Self Adhesive Vinyl - 4mil - Matte,"54""x150'",SSAVG045415M,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 4mil (Greyback),Solvit Self Adhesive Vinyl - 4mil - Matte,"60""x150'",SSAVG046015M,1 Roll,,,,,,,,,,
108,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 6mil (white Back),Solvit Self Adhesive Vinyl - 6mil - Gloss,"54""x100'",SSAVW065410G,1 Roll,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
109,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 6mil (white Back),Solvit Self Adhesive Vinyl - 6mil - Gloss,"60""x100'",SSAVW066010G,1 Roll,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 6mil (white Back),Solvit Self Adhesive Vinyl - 6mil - Matte,"54""x100'",SSAVW065410M,1 Roll,,,,,,,,,,
,SolviT Sign & Display Media Solvit Self Adhesive Vinyl - 6mil (white Back),Solvit Self Adhesive Vinyl - 6mil - Matte,"60""x100'",SSAVW066010M,1 Roll,,,,,,,,,,
110,SolviT Sign & Display Media Solvit PolySign 11mil,Solvit PolySign 11mil,"38""x100'",SPOLY11-3810M,1 Roll,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
111,SolviT Sign & Display Media Solvit PolySign 11mil,Solvit PolySign 11mil,"54""x150'",SPOLY11-5415M,1 Roll,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
112,SolviT Sign & Display Media Solvit PolySign 11mil,Solvit PolySign 11mil,"60""x150'",SPOLY11-6015M,1 Roll,1.81,2.2,2.44,2.57,3.08,3.3,3.52,3.74,3.96,4.4
113,SolviT Sign & Display Media Solvit PolySign 17mil,Solvit PolySign 17mil,"38""x100'",SPOLY17-3810M,1 Roll,2.8,3.4,3.78,3.98,4.76,5.1,5.44,5.78,6.12,6.8
