ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M_Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail
GCAN12-13X19,Graffiti Polyester Paper,Digital Fabric - 12 Oz,"13""x19""",0.15935452,200,6.59,8,8.89,9.36,11.2,12,12.8,13.6,14.4,16
GPOLY081218B,Graffiti Blended Poly,8mil / 235gsm,"12""x18""",0.13935456,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY081319B,Graffiti Blended Poly,8mil / 235gsm,"13""x19""",0.15935452,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY082130B,Graffiti Blended Poly,8mil / 235gsm,"20.9""x29.5""",0.397773398,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY082840B,Graffiti Blended Poly,8mil / 235gsm,"28""x40""",0.7225792,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY111218B,Graffiti Blended Poly,11mil / 347gsm,"12""x18""",0.13935456,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY111319B,Graffiti Blended Poly,11mil / 347gsm,"13""x19""",0.15935452,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY112130B,Graffiti Blended Poly,11mil / 347gsm,"20.9""x29.5""",0.397773398,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY112840B,Graffiti Blended Poly,11mil / 347gsm,"28""x40""",0.7225792,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY141218B,Graffiti Blended Poly,14mil / 420gsm,"12""x18""",0.13935456,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY141319B,Graffiti Blended Poly,14mil / 420gsm,"13""x19""",0.15935452,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY142130B,Graffiti Blended Poly,14mil / 420gsm,"20.9""x29.5""",0.397773398,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY142840B,Graffiti Blended Poly,14mil / 420gsm,"28""x40""",0.7225792,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY081218M,Graffiti SOFT Poly,8mil / 200mic,"12""x18""",0.13935456,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY081319M,Graffiti SOFT Poly,8mil / 200mic,"13""x19""",0.15935452,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY082130M,Graffiti SOFT Poly,8mil / 200mic,"20.9""x29.5""",0.397773398,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY082840M,Graffiti SOFT Poly,8mil / 200mic,"28""x40""",0.7225792,500,1.98,2.4,2.67,2.81,3.36,3.6,3.84,4.08,4.32,4.8
GPOLY111218M,Graffiti SOFT Poly,11mil / 260mic,"12""x18""",0.13935456,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY111319M,Graffiti SOFT Poly,11mil / 260mic,"13""x19""",0.15935452,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY112130M,Graffiti SOFT Poly,11mil / 260mic,"20.9""x29.5""",0.397773398,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY112840M,Graffiti SOFT Poly,11mil / 260mic,"28""x40""",0.7225792,500,2.64,3.2,3.56,3.74,4.48,4.8,5.12,5.44,5.76,6.4
GPOLY141218M,Graffiti SOFT Poly,14mil / 330mic,"12""x18""",0.13935456,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY141319M,Graffiti SOFT Poly,14mil / 330mic,"13""x19""",0.15935452,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY142130M,Graffiti SOFT Poly,14mil / 330mic,"20.9""x29.5""",0.397773398,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GPOLY142840M,Graffiti SOFT Poly,14mil / 330mic,"28""x40""",0.7225792,400,3.13,3.8,4.22,4.44,5.32,5.7,6.08,6.46,6.84,7.6
GSCOL040811W,Graffiti STICK,COOLStick - 4mil,"8.5""x11""",0.06032246,100,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
GSCOL041218W,Graffiti STICK,COOLStick - 4mil,"12x18""",0.13935456,100,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
GSCOL041319W,Graffiti STICK,COOLStick - 4mil,"13x19""",0.15935452,100,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
GSCLR042130C,Graffiti STICK,COOLStick - 4mil,"20.9""x29.5""",0.397773398,100,1.56,1.9,2.11,2.22,2.66,2.85,3.04,3.23,3.42,3.8
